	headlines	texts	rubrics	links
55	Российский Минфин предложил сократить профицит бюджета в 2019 году	Согласно документу предлагается увеличить общий объем доходов бюджета РФ на 206 млрд руб. до 20,175 трлн руб. с нынешних 19,969 трлн руб. Прогнозируемый объем дополнительных нефтегазовых доходов предлагается сократить на 192 млрд руб. до 3,177 трлн руб. с действующих 3,369 трлн руб.	business	https://news.yandex.ru//story/Rossijskij_Minfin_predlozhil_sokratit_proficit_byudzheta_v_2019_godu--95a7687a9d7f220530f5c5779290c207?lr=47&lang=ru&stid=PuBaNB5KKougzr97NRfp&persistent_id=63703355&rubric=business&from=rubric
56	Чиновники хотят изменить расчет прожиточного минимума пенсионера	Минтруд предложил изменить правила расчета прожиточного минимума пенсионера в регионах. На основе этого показателя правительство определяет социальные доплаты, чтобы неработающий пенсионер не оказался за чертой бедности по меркам региона.	business	https://news.yandex.ru//story/CHinovniki_khotyat_izmenit_raschet_prozhitochnogo_minimuma_pensionera--e64561e340dfdd86345ec2e5ab4eaf8e?lr=47&lang=ru&stid=kCsk-EPvcvVumOWDSndr&persistent_id=63766913&rubric=business&from=rubric
57	Путин: производителям будут помогать выходить на международные рынки	Федеральные власти в рамках программы импортозамещения будут и дальше поддерживать российских производителей, помогать предприятиям выходить на международные рынки, заявил президент РФ Владимир Путин на Медиафоруме ОНФ.	business	https://news.yandex.ru//story/Putin_proizvoditelyam_budut_pomogat_vykhodit_na_mezhdunarodnye_rynki--bd30da4b436c4245dd08e84ba34489f6?lr=47&lang=ru&stid=Nis_&persistent_id=63779906&rubric=business&from=rubric
58	Прогноз результатов «Алросы» за I квартал по МСФО: выручка выросла на 13% к/к	Учитывая, что компания раскрывает месячные показатели продаж, публикация финансовых результатов редко становится сильным драйвером для&nbsp;акций.	business	https://news.yandex.ru//story/Prognoz_rezultatov_Alrosy_za_I_kvartal_po_MSFO_vyruchka_vyrosla_na_13_k/k--0ed601fcf89533263ae83d9376fca89e?lr=47&lang=ru&stid=6iS8&persistent_id=63752890&rubric=business&from=rubric
59	РЖД разместят «зеленые» бонды на 500 млн евро	"ОАО ""Российские железные дороги"" (РЖД) размещает 8-летние ""зеленые"" бонды - облигаций, все средства от которых идут на финансирование экологических проектов компании-эмитента - на 500 млн евро под 2,2%, сообщил ""Интерфаксу"" источник в банковских кругах."	business	https://news.yandex.ru//story/RZHD_razmestyat_zelenye_bondy_na_500_mln_evro--a78c15ab0fd1e66b2b67ba0234e563aa?lr=47&lang=ru&stid=w92ymXvb0meP&persistent_id=63766833&rubric=business&from=rubric
60	Футболистов Ильина и Мирзова вызвали в КДК после конфликта на матче	Нападающего ФК «Урал» Владимира Ильина и полузащитника тульского «Арсенала» Резиуана Мирзова вызвали на заседание контрольно-дисциплинарного комитета (КДК) Российского футбольного союза (РФС) после конфликта во время матча Кубка России.	sport	https://yandex.ru/sport/story/Futbolistov_Ilina_i_Mirzova_vyzvali_v_KDK_posle_konflikta_na_matche--b61a6a53917920a827772ff0c01ba860?lr=47&lang=ru&stid=-RSRuAGRzr4f0ZF6SGZ3&persistent_id=63765700&rubric=index&from=index
61	Касаткина вышла в третий круг турнира WTA в Риме	Российская теннисистка Дарья Касаткина одержала победу в трех сетах над представительницей Чехии Катержиной Синяковой в игре второго круга турнира WTA в Риме.	sport	https://yandex.ru/sport/story/Kasatkina_vyshla_v_tretij_krug_turnira_WTA_v_Rime--154e34121ff679620e8e7dc0e9e27679?lr=47&lang=ru&stid=NEcKs2uSSiY86UoOjlYv&persistent_id=63771742&rubric=index&from=index
62	Футболист Калачев покинет «Ростов» после матча 29-го тура РПЛ	"Белорусский полузащитник ""Ростова"" 38-летний Тимофей Калачев покинет клуб после матча 29-го тура Российской премьер-лиги (РПЛ). Об этом в четверг сообщила пресс-служба клуба. Матч предпоследнего тура РПЛ между ""Ростовом"" и санкт-петербургским ""Зенитом"" пройдет 19 мая на ""Ростов-Арене""."	sport	https://yandex.ru/sport/story/Futbolist_Kalachev_pokinet_Rostov_posle_matcha_29-go_tura_RPL--13580e73f4879b7fe65bd4d6b1063d9d?lr=47&lang=ru&stid=pwUdI0jr7NuysfoAMh3j&persistent_id=63778798&rubric=index&from=index
63	Испанский «Реал» стал самым дорогим футбольным брендом мира	Мадридский «Реал» опередил британский «Манчестер Юнайтед» и стал самым дорогим футбольным брендом мира, следует из ежегодного отчета Football 50 консалтинговой компании Brand Finance (.pdf). Эксперты оценили стоимость бренда «Реала» в €1,6 млрд.	sport	https://yandex.ru/sport/story/Ispanskij_Real_stal_samym_dorogim_futbolnym_brendom_mira--37589a213dd3fd6f0069bd61b2c7779e?lr=47&lang=ru&stid=gILtTcZIXuE2nWFKyVVF&persistent_id=63272570&rubric=index&from=index
64	Тер Штеген получил травму колена	"Вратарь ""Барселоны"" Марк-Андре тер Штеген испытывает дискомфорт в правом колене, сообщает пресс-служба каталонцев."	sport	https://yandex.ru/sport/story/Ter_SHtegen_poluchil_travmu_kolena--017f4d02d596cd46318ece7c879297b2?lr=47&lang=ru&stid=JiSSOKvdJW6SheuzjqbI&persistent_id=63780221&rubric=index&from=index
65	Сборная России по хоккею одержала самую крупную победу в своей истории	Матч чемпионата мира по хоккею между сборными России и Италии завершился победой команды Ильи Воробьева со счетом 10:0. Встреча прошла на арене имени Ондрея Непелы в Братиславе. Победа с разницей в десять шайб стала самой крупной в истории сборной России.	sport	https://yandex.ru/sport/story/Sbornaya_Rossii_po_khokkeyu_oderzhala_samuyu_krupnuyu_pobedu_v_svoej_istorii--6e38b18c25f84ba455b4392f808c2558?lr=47&lang=ru&stid=TdCvPzgBtdcakB797290&persistent_id=63715535&rubric=index&from=index
66	Чемпионат Европы по художественной гимнастике стартует в Баку	XXXV Чемпионат Европы по художественной гимнастике стартует в эти минуты на Национальной арене гимнастики в Баку. В рамках четырехдневного турнира взрослые гимнастки сразятся в индивидуальных упражнениях, а юниорки выступят в групповых.	sport	https://yandex.ru/sport/story/CHempionat_Evropy_po_khudozhestvennoj_gimnastike_startuet_v_Baku--6f3022930071d2a566298e548dd905cb?lr=47&lang=ru&stid=EVlHJDlwTPee4ro12LOs&persistent_id=63716129&rubric=index&from=index
67	Кирьос, бросивший стул на корт, дисквалифицирован на турнире в Риме	24-летний австралиец, ранее уже отличавшийся неприемлемым поведением во время игр, в третьем сете матча против норвежца Каспера Рууда получил предупреждение от судьи за сломанную ракетку, но не согласился с ним. Киргиос ногой выбросил стул на корт, после чего собрал сумку и покинул корт.	sport	https://yandex.ru/sport/story/Kiros_brosivshij_stul_na_kort_diskvalificirovan_na_turnire_v_Rime--d6fdf9667b0c7ff39428b564037d1b99?lr=47&lang=ru&stid=V8-WVwB8Xf3NDL1hwuJO&persistent_id=63779668&rubric=index&from=index
68	Адвокаты Кокорина и Мамаева подадут апелляцию 20 мая	Игорь Бушманов, адвокат полузащитника «Краснодара» Павла Мамаева, сказал, что он и его коллеги, защищающие форварда «Зенита» Александра Кокорина, его младшего брата Кирилла и друга Александра Протасовицкого, подадут совместную апелляцию 20 мая.	sport	https://yandex.ru/sport/story/Advokaty_Kokorina_i_Mamaeva_podadut_apellyaciyu_20_maya--330d277eacadcc060f8a54c067da6024?lr=47&lang=ru&stid=uLBsKBnkk-6TZExsBurd&persistent_id=63766692&rubric=index&from=index
69	РУСАДА протестировало 11 игроков сборной России перед чемпионатом мира	Пресс-служба Международной федерации хоккея отмечает, что все допинг-пробы, взятые у игроков команд перед чемпионатом мира, оказались отрицательными. Напомним, чемпионат мира проходит Словакии в период с 10 по 26 мая.	sport	https://yandex.ru/sport/story/RUSADA_protestirovalo_11_igrokov_sbornoj_Rossii_pered_chempionatom_mira--2c8a36da9eea1b806085a5dcf411c74f?lr=47&lang=ru&stid=VLvTZ2YpJBkRM_n2&persistent_id=63783730&rubric=index&from=index
70	Курбан Бердыев уйдёт из «Рубина»	Главный тренер казанского «Рубина» Курбан Бердыев покинет свой пост после окончания текущего сезона. Такое решение принял сам специалист, сообщает Sport24.	sport	https://yandex.ru/sport/story/Kurban_Berdyev_ujdyot_iz_Rubina--6cb12f095c0ed5d7a98ce2692ae3abb0?lr=47&lang=ru&stid=qmZKbv1Z15ftxkk74r_d&persistent_id=63755629&rubric=index&from=index
71	Канадец Крэйг Мактавиш стал главным тренером клуба КХЛ «Локомотив»	"Канадский специалист Крэйг Мактавиш назначен главным тренером ярославского клуба Континентальной хоккейной лиги (КХЛ) ""Локомотив"". Об этом в четверг сообщает пресс-служа клуба. Соглашение с 60-летним специалистом рассчитано на два года."	sport	https://yandex.ru/sport/story/Kanadec_Krehjg_Maktavish_stal_glavnym_trenerom_kluba_KKHL_Lokomotiv--53eb53f3a694bfee6a31b006f206efff?lr=47&lang=ru&stid=5fa33YND2Aw0dboD1OeK&persistent_id=63772280&rubric=index&from=index
72	Поле стадиона «Динамо» допустили к проведению матчей РПЛ	Заместитель генерального директора РФС Александр Зорков сообщил, что поле Центрального стадиона «Динамо» допущено к проведению матчей РПЛ. Первый матч на новой арене бело-голубых пройдет 26 мая. В рамках 30-го тура РПЛ «Динамо» сыграет с тульским «Арсеналом».	sport	https://yandex.ru/sport/story/Pole_stadiona_Dinamo_dopustili_k_provedeniyu_matchej_RPL--2e9a40b417aa3be3870fb8a35b87a6af?lr=47&lang=ru&stid=K3o6x-QAhCdVgNWfrCD6&persistent_id=63762182&rubric=index&from=index
73	Глушаков рассказал о переходе из «Локомотива» в «Спартак»	Капитан московского «Спартака» Денис Глушаков рассказал о переходе в стан «красно-белых» из «Локомотива».	sport	https://yandex.ru/sport/story/Glushakov_rasskazal_o_perekhode_iz_Lokomotiva_v_Spartak--1b7085d5bcb9704acc97dbe58f7bba55?lr=47&lang=ru&stid=1MJKG8J1gWJa6EeZ9O6V&persistent_id=63782550&rubric=index&from=index
74	Лыжник Александр Большунов сменил спортивную прописку	Спортсмен принял решение сменить регион. Теперь он будет представлять Архангельскую область. Вместе с ним регион покидает и его девушка Анна Жеребятьева.	sport	https://yandex.ru/sport/story/Lyzhnik_Aleksandr_Bolshunov_smenil_sportivnuyu_propisku--757965ddfb123a07587f343e7dc010e4?lr=47&lang=ru&stid=84VA1WYfFQEp-e5O8KnF&persistent_id=63665095&rubric=index&from=index
75	В московском Институте физической химии произошел взрыв	"Ранее другой источник сообщил ""Интерфаксу"", что экстренные службы Москвы проверяют информацию о хлопке при лабораторных опытах в Институте физической химии и электрохимии имени Фрумкина по адресу Ленинский проспект, д. 31/4."	incident	https://news.yandex.ru//story/V_moskovskom_Institute_fizicheskoj_khimii_proizoshel_vzryv--d642ce7aec362ab8dc3fadde26c8adde?lr=47&lang=ru&stid=G4P54Fda_09A9vZcSusz&persistent_id=63775842&rubric=incident&from=rubric
76	В Екатеринбурге арестован 21 задержанный на акции против храма	В Екатеринбурге Верх-Исетский райсуд назначил сроки наказания участникам протестной акции, задержанным 14 мая. Об этом корреспонденту ИА&nbsp;REGNUM сообщили в пресс-службе Свердловского облсуда. Всего суд рассмотрел 22 материала.	incident	https://news.yandex.ru//story/V_Ekaterinburge_arestovan_21_zaderzhannyj_na_akcii_protiv_khrama--155914fae881f137bffb0e98bde680e0?lr=47&lang=ru&stid=qFApdUpxfV5jUODhuGXQ&persistent_id=63674592&rubric=incident&from=rubric
77	В Москве задержан крупный финансист «Исламского государства»	"ФСБ совместно со Следственным комитетом, МВД и Росфинмониторингом пресекла деятельность крупного финансиста запрещенной в РФ террористической организации ""Исламское государство"". Судя по кадрам оперативного видео, подозреваемого молодого человека задержали вчера в Москве."	incident	https://news.yandex.ru//story/V_Moskve_zaderzhan_krupnyj_finansist_Islamskogo_gosudarstva--ae07055545c503194d687d1c94f16da1?lr=47&lang=ru&stid=NP3JNNlJCZpCgMjJRW_h&persistent_id=63754546&rubric=incident&from=rubric
78	Две россиянки получили ранения в результате авианалета в Йемене	Всего в ходе авианалета, по последним данным, погибли шесть человек, еще 41 человек получил ранения. Мишенью самолетов коалиции были позиции мятежников-хуситов в Сане. Однако по некоторым данным, пострадать могли и гражданские объекты.	incident	https://news.yandex.ru//story/Dve_rossiyanki_poluchili_raneniya_v_rezultate_avianaleta_v_Jemene--a255237a1bc89c2904a7225d60ae6850?lr=47&lang=ru&stid=llT5_ncGmS_l4mmDCEOy&persistent_id=63743978&rubric=incident&from=rubric
79	Суд отказался возвращать в прокуратуру дело «Зимней вишни»	Заводский районный суд Кемерово отказал адвокатам обвиняемых по делу о пожаре в торговом центре «Зимняя вишня» в возвращении дела в прокуратуру. Сегодня, 16 мая, проходит первое судебное заседание по делу.	incident	https://news.yandex.ru//story/Sud_otkazalsya_vozvrashhat_v_prokuraturu_delo_Zimnej_vishni--2cc6a7d39b11916398876216dbf1b25d?lr=47&lang=ru&stid=egR1oftbMo7Yr543MoCi&persistent_id=63109228&rubric=incident&from=rubric
80	Бастрыкин поручил проверить материалы дел о выдаче жилья иркутским сиротам	Глава СК РФ Александр Бастрыкин поручил проанализировать материалы дел о выдаче жилья для детей-сирот в Тайшестком районе Иркутской области, сообщила официальный представитель ведомства Светлана Петренко.	incident	https://news.yandex.ru//story/Bastrykin_poruchil_proverit_materialy_del_o_vydache_zhilya_irkutskim_sirotam--270bae188dc1bbdfafc20590bbabda0a?lr=47&lang=ru&stid=ls76&persistent_id=63780615&rubric=incident&from=rubric
81	Россиянин перевозил мертвеца в мешке на крыше автомобиля	Водитель автомобиля «Волга» перевозил труп на крыше машины. Фотографию транспортировки, сделанную на одной из улиц Воронежа, опубликовал Telegram-канал Hue. На снимке видно тело мужчины в мешке, прикрепленном к навесному багажнику автомобиля.	incident	https://news.yandex.ru//story/Rossiyanin_perevozil_mertveca_v_meshke_na_kryshe_avtomobilya--2abfceeb45854155844c086589fc48bd?lr=47&lang=ru&stid=WXYDcjnf8POrRcjVCnLk&persistent_id=63707866&rubric=incident&from=rubric
82	Вологжанин подбросил свою дочь на крыльцо роддома	15 мая нетрезвый мужчина сам явился в отдел полиции и всё рассказал. Как оказалось, он не смог успокоить плачущего ребенка, поэтому оставил ее на крыльце медицинского учреждения. После этого он ушел из дома и вернулся лишь спустя несколько дней.	incident	https://news.yandex.ru//story/Vologzhanin_podbrosil_svoyu_doch_na_krylco_roddoma--dc99b19506c9b43215385dbb60119237?lr=47&lang=ru&stid=yfE7nlufeqVvhgqSs-Fc&persistent_id=63751931&rubric=incident&from=rubric
83	Мать девочки, брошенной в квартире в Москве, признали невменяемой	По результатам психиатрической экспертизы мать жившей в захламленной московской квартире девочки-маугли Ирину Гаращенко признали невменяемой, поставленный диагноз позволит ей после лечения вернуться к воспитанию дочери, сообщает в четверг «Интерфакс».	incident	https://news.yandex.ru//story/Mat_devochki_broshennoj_v_kvartire_v_Moskve_priznali_nevmenyaemoj--2a9967bbde51d6a66bf6c00a770da064?lr=47&lang=ru&stid=GCErmFgO0wL8w-iAp4YB&persistent_id=63706416&rubric=incident&from=rubric
84	На Ставрополье столкнулись восемь автомобилей: два человека погибли	Авария произошла около 13:00 на 33 километре автодороги «Минеральные Воды — Кисловодск» (вблизи Женского Монастыря). В результате столкновения двух грузовых «Газелей», а также шести легковых автомобилей погибли два человека, еще один госпитализирован с травмами.	incident	https://news.yandex.ru//story/Na_Stavropole_stolknulis_vosem_avtomobilej_dva_cheloveka_pogibli--de96dbf830a3c528ed6a86c53df343f8?lr=47&lang=ru&stid=ukGjJhQ_dEweABOUwXqj&persistent_id=63766718&rubric=incident&from=rubric
85	Патрульный автомобиль опрокинулся на Коллонтай, пострадал полицейский	Сегодня на улице Коллонтай автомобиль патрульно-постовой службы Невского района столкнулся с препятствием и перевернулся, сообщили в пресс-службе ГУ МВД по Петербургу и Ленобласти.	incident	https://news.yandex.ru//story/Patrulnyj_avtomobil_oprokinulsya_na_Kollontaj_postradal_policejskij--8ddfeaf3aae755b0dc941ebbc6219ce8?lr=47&lang=ru&stid=RH6oHWzoI87V6MsAv9m7&persistent_id=63748698&rubric=incident&from=rubric
86	В Тихорецке уголовник подорвал гранатой свою бывшую сожительницу	С братом у мужчины неоднократно случались конфликты на бытовой почве. 21 июня 2018 года в ходе очередной ссоры пьяный Беликов вышел во двор и бросил в открытое окно дома гранату РГД. Сообщается, что боеприпас он приобрел ранее.	incident	https://news.yandex.ru//story/V_Tikhorecke_ugolovnik_podorval_granatoj_svoyu_byvshuyu_sozhitelnicu--144d809f2619efe46eca0ec35d0fcbb5?lr=47&lang=ru&stid=Y9nkZaQeTNgugmUrf4sP&persistent_id=63777139&rubric=incident&from=rubric
87	На Кубани замминистра АПК края заподозрили в крупной взятке	В министерстве сельского хозяйства и перерабатывающей промышленности Краснодарского края началась проверка по факту возможного получения двумя высокопоставленными чиновниками ведомства четырех миллионов рублей якобы за содействие в предоставлении гранта.	incident	https://news.yandex.ru//story/Na_Kubani_zamministra_APK_kraya_zapodozrili_v_krupnoj_vzyatke--303ebdf0f9484b2f95a07a4a0b192129?lr=47&lang=ru&stid=OQZZcrag4e2hz3Hko4Pb&persistent_id=63753614&rubric=incident&from=rubric
88	В Казахстане арестовали политолога Сыроежкина по делу о госизмене	В Казахстане арестовали ученого-китаиста и политолога Константина Сыроежкина по подозрению в госизмене. Об этом сообщает местный портал «Inform Бюро» со ссылкой на пресс-службу Комитета национальной безопасности (КНБ) страны.	incident	https://news.yandex.ru//story/V_Kazakhstane_arestovali_politologa_Syroezhkina_po_delu_o_gosizmene--82609261a421ac905ca942e1bbc5554d?lr=47&lang=ru&stid=IilR8yI5&persistent_id=63779931&rubric=incident&from=rubric
89	В СКР назвали причину гибели актера Дмитрия Марьянова	Подмосковные следователи закончили масштабную работу по расследованию резонансного уголовного дела о гибели популярного актера театра и кино Дмитрия Марьянова. Об этом в четверг сообщили в управлении по взаимодействию со СМИ Следственного комитета России.	incident	https://news.yandex.ru//story/V_SKR_nazvali_prichinu_gibeli_aktera_Dmitriya_Maryanova--7b690c0516b92e3c2711c7e03540f0ea?lr=47&lang=ru&stid=gafS47jWW10dAMg56tEO&persistent_id=63781290&rubric=incident&from=rubric
90	Первый канал аннулировал итоги финала шоу «Голос. Дети»	«Промежуточные результаты проверки подтверждают, что на голосование было оказано внешнее воздействие, которое повлияло на итоги шоу», — пояснили представители канала.	culture	https://news.yandex.ru//story/Pervyj_kanal_annuliroval_itogi_finala_shou_Golos._Deti--069476661fc7f4df264451cdc34467fc?lr=47&lang=ru&stid=U10CERxCBDC1vZWKJWYf&persistent_id=63766616&rubric=culture&from=rubric
91	Фанаты потребовали от HBO переснять последний сезон «Игры престолов»	Больше 400 тыс. фанатов «Игры престолов» подписали петицию, в которой потребовали от HBO переделать финальный восьмой сезон сериала. Петиция появилась на сайте Change.org.	culture	https://news.yandex.ru//story/Fanaty_potrebovali_ot_HBO_peresnyat_poslednij_sezon_Igry_prestolov--c8eeb2131c75337375b7cbb4d70f2da5?lr=47&lang=ru&stid=3qBT2ZGs91aZE01ZR1il&persistent_id=63633469&rubric=culture&from=rubric
92	Испанский суд снял с Шакиры обвинения в плагиате	В суд на певицу подал кубинский композитор Ливан Рафаэль Кастельяно, заявивший, что в песне Шакиры используются куски из его произведения.	culture	https://news.yandex.ru//story/Ispanskij_sud_snyal_s_SHakiry_obvineniya_v_plagiate--96c9be03bc0a32507078a9b3b39f0a79?lr=47&lang=ru&stid=BxaLVC30o-MuPEhfL4NQ&persistent_id=63766328&rubric=culture&from=rubric
93	Скульптуру Джеффа Кунса «Кролик» продали на рекордные $91,1 млн	"Скульптуру под названием ""Кролик"", созданную американским художником Джеффом Кунсом, продали на аукционе в США за 91.1 млн долларов — это, как сообщает информагентство РИА Новости, рекордная цена для скульптуры, создавший которую художник все еще жив."	culture	https://news.yandex.ru//story/Skulpturu_Dzheffa_Kunsa_Krolik_prodali_na_rekordnye_$911_mln--cf0701e31edd445d7ee16b82a5e9c13d?lr=47&lang=ru&stid=tC2jDdCxLtEVeGy2Yqor&persistent_id=63730576&rubric=culture&from=rubric
94	Суд отказался запрещать въезд в Украину Федору Добронравову	"В отличие от ранее принятого (и уже отмененного) решения о запрете ""Сватов"". Ранее в Шестой апелляционный административный суд были поданы жалобы на решения Окружного админсуда Киева, который разрешил въезд в Украину Добронравову и показ сериала ""Сваты""."	culture	https://news.yandex.ru//story/Sud_otkazalsya_zapreshhat_vezd_v_Ukrainu_Fedoru_Dobronravovu--c1552aa6d67c71c5d43c7c4cf9d10db7?lr=47&lang=ru&stid=_WdOsuvmXrG3Qgq3ws2q&persistent_id=63720190&rubric=culture&from=rubric
95	Букмекеры назвали фаворитов Евровидения	Букмекеры считают, что победителем песенного конкурса Евровидение, которое проходит в этом году в Тель-Авиве, станет певец из Нидерландов Дункан Лоуренс, сообщило издание El Periodico. Российский исполнитель Сергей Лазарев, согласно прогнозам, попадет в пятерку.	culture	https://news.yandex.ru//story/Bukmekery_nazvali_favoritov_Evrovideniya--4c80842debcf832079b4bdb9181cb80e?lr=47&lang=ru&stid=5ieJqif4wAEc9-1JBjyg&persistent_id=63728915&rubric=culture&from=rubric
96	Главный символ Каннского кинофестиваля. История создания «Золотой пальмовой ветви»	"Главную награду международного Каннского кинофестиваля - ""Золотую пальмовую ветвь"" - во Францию привозят из соседней Швейцарии. Стоимость ювелирного изделия оценивается в € 20 тыс. Этот приз когда-то предложил создать бывший генеральный директор фестиваля Робер Фавр Ле Бре."	culture	https://news.yandex.ru//story/Glavnyj_simvol_Kannskogo_kinofestivalya._Istoriya_sozdaniya_Zolotoj_palmovoj_vetvi--1e8bf8e22db91463c6175fc8f6b81656?lr=47&lang=ru&persistent_id=63783012&rubric=culture&from=rubric
97	Вышел трейлер драмы «Дылда» Кантемира Балагова	Кинопоиск опубликовал трейлер второго полнометражного фильма Кантемира Балагова «Дылда». Драма вошла в&nbsp;конкурсную программу 72-го Каннского кинофестиваля «Особый взгляд».	culture	https://news.yandex.ru//story/Vyshel_trejler_dramy_Dylda_Kantemira_Balagova--28f20326999a5be6c584a42d7981e00b?lr=47&lang=ru&stid=NOQlZrDXUDtj9FPBAmA5&persistent_id=63666094&rubric=culture&from=rubric
98	Отец финалиста шоу «Голос. Дети» Валерия Кузакова рассказал о впечатлениях сына от проекта	На шоу мальчик представлял команду певицы Пелагеи, но победу одержала Микелла Абрамова, что спровоцировало скандал и стало причиной проверки итогов голосования. Ранее эксперты зафиксировали накрутку голосов в пользу дочери Алсу.	culture	https://news.yandex.ru//story/Otec_finalista_shou_Golos._Deti_Valeriya_Kuzakova_rasskazal_o_vpechatleniyakh_syna_ot_proekta--5c687398f64f4b4e471dfbbb3c6fe6f3?lr=47&lang=ru&persistent_id=63781982&rubric=culture&from=rubric
99	8 крутых персонажей, созданных на компьютере	Добби/Гарри Поттер и&nbsp;Тайная комната Депрессивный эльф-домовик, склонный к&nbsp;самоистязанию, мгновенно приходит на&nbsp;ум всем, кто&nbsp;начинает думать про&nbsp;стопроцентно компьютерных персонажей.	culture	https://news.yandex.ru//story/8_krutykh_personazhej_sozdannykh_na_kompyutere--8aa3f10bde4caa82d72cfaf0341f2179?lr=47&lang=ru&stid=HqME&persistent_id=63785374&rubric=culture&from=rubric
100	Представительница Кипра выступила на Евровидении в «голом костюме»	Грузинская певица Тамта, представляющая Кипр на конкурсе Евровидение в Тель-Авиве, поразила зрителей своим откровенным «голым нарядом». В первом полуфинале она исполнила песню Replay.	culture	https://news.yandex.ru//story/Predstavitelnica_Kipra_vystupila_na_Evrovidenii_v_golom_kostyume--7fe2c652be4319f17d826763b7b68cb6?lr=47&lang=ru&stid=AgXq-AdJz_F6aWflVBdv&persistent_id=63696568&rubric=culture&from=rubric
101	Сериал «Чудотворцы» с Дэниэлом Рэдклиффом продлили на второй сезон	Американская компания TBS продлила сериал «Чудотворцы» с Дэниэлом Рэдклиффом и Стивом Бушеми на второй сезон, сообщил 15 мая портал Deadline. Продюсерами выступят Стив Бушеми, Лорн Майклз, Эндрю Сингер и Кэти Дженсен.	culture	https://news.yandex.ru//story/Serial_CHudotvorcy_s_Dehniehlom_Rehdkliffom_prodlili_na_vtoroj_sezon--5e2942b62140e63ac91197647e5e3f1a?lr=47&lang=ru&stid=awRXsiVm0-ol22quNoDZ&persistent_id=63703864&rubric=culture&from=rubric
102	Первый канал аннулировал результат финала шоу «Голос. Дети»	В пресс-службе пояснили, что предварительная экспертиза подтвердила факт внешнего воздействия на ход голосования. Отмечается, что проверка, которой занималась Group-IB, должна была подтвердить или опровергнуть факт искусственного воздействия на результаты.	culture	https://news.yandex.ru//story/Pervyj_kanal_annuliroval_rezultat_finala_shou_Golos._Deti--1cfb654e6cfa65a43783e5853c34d32d?lr=47&lang=ru&stid=ERxCXUApuj6l4Npw_oeJ&persistent_id=63766616&rubric=culture&from=rubric
103	От HBO потребовали переснять 8 сезон «Игры престолов»	"Поклонники сериала ""Игра престолов"" потребовали переснять восьмой, заключительный сезон саги. Петиция с требованием появилась на сайте Change.org. Фанаты выразили яростное возмущение тем, как Дэвид Бениофф и Дэн Уайсс проявили себя как сценаристы, не имея возможности опереться на материал книг."	culture	https://news.yandex.ru//story/Ot_HBO_potrebovali_peresnyat_8_sezon_Igry_prestolov--5a7529b5289e53f63dfd617084d34b59?lr=47&lang=ru&stid=x3hw2ZGsE01ZR1il91aZ&persistent_id=63633469&rubric=culture&from=rubric
104	Скульптуру Джеффа Кунса «Кролик» продали на рекордные $91,1 млн	На аукционе Christie's в Нью-Йорке скульптура Джеффа Кунса «Кролик» продали за рекордную стоимость для ныне живущего художника – 91,1 миллион долларов.	culture	https://news.yandex.ru//story/Skulpturu_Dzheffa_Kunsa_Krolik_prodali_na_rekordnye_$911_mln--cf0701e31edd445d7ee16b82a5e9c13d?lr=47&lang=ru&stid=tC2jLtEVW1TUeGy2Yqor&persistent_id=63730576&rubric=culture&from=rubric
105	Павел Дуров раскритиковал WhatsApp	"Основатель Telegram Павел Дуров рассказал о проблемах с безопасностью в мессенджере WhatsApp. Об этом сообщает РИА ""Новости"". ""Выявленные проблемы позволяют вести слежку, выглядят и функционируют как бэкдоры"", - сказал Дуров."	computers	https://news.yandex.ru//story/Pavel_Durov_raskritikoval_WhatsApp--899fb60ad857f17e4de12dde5f3f07c6?lr=47&lang=ru&stid=rbLgawnMuT0YpTepjtGQ&persistent_id=63722718&rubric=computers&from=rubric
106	Google создал переводчик, имитирующий голос пользователя	Google разработала специальный алгоритм, который может переводить речь с одного языка на другой, сохраняя голос говорящего и не используя текст.	computers	https://news.yandex.ru//story/Google_sozdal_perevodchik_imitiruyushhij_golos_polzovatelya--ed9fbc86b04347415b0e4ab3e8c42b59?lr=47&lang=ru&stid=G5_pC62u6QD707FYEP4L&persistent_id=63747269&rubric=computers&from=rubric
107	Выпущена первая в мире карта microSD на 1 Тб	Американская компания Sandisk начала онлайн-продажи первой в своем роде карты microSD с объемом памяти 1 терабайт. Стоимость нового хранителя данных под названием Extreme составляет $499,9 (около 32,2 тыс. руб.).	computers	https://news.yandex.ru//story/Vypushhena_pervaya_v_mire_karta_microSD_na_1_Tb--a84bb0a2caf01da770f08a78a4dc7a85?lr=47&lang=ru&stid=3VJQPfgsIGAQVGy8P2oT&persistent_id=63754266&rubric=computers&from=rubric
108	Любую игру из Steam теперь можно бесплатно запустить на iPhone	Приложение Steam Link от Valve теперь доступно на устройствах iOS и Apple TV. Оно позволяет удаленно стримить игры, запущенные на компьютере, на дисплее смартфона. Поддерживаются операционные системы Windows, Mac или Linux.	computers	https://news.yandex.ru//story/Lyubuyu_igru_iz_Steam_teper_mozhno_besplatno_zapustit_na_iPhone--6219677a5f7c060b1504ec18e1d2035b?lr=47&lang=ru&stid=Ql0pqpNRGoFX1hrCJ54M&persistent_id=63741259&rubric=computers&from=rubric
